OPENDUCK MINI V3 ENHANCED - MASTER PROCUREMENT TRACKER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
✅,ruthex M3 Heat Set Inserts 100pcs,10.99,Amazon.it,DA ORDINARE,M3x5x4mm brass inserts,CARRELLO,17 gen
✅,Viti Cilindriche M2 M3 M4 1080pcs,10.79,Amazon.it,DA ORDINARE,Socket head cap screws,CARRELLO,13-16 gen
✅,10 mini Cuscinetti MR63ZZ 3x6x2.5mm,8.35,Amazon.it,DA ORDINARE,Ball bearings for joints,CARRELLO,16 gen
✅,ELEGOO 120pcs Jumper Wire Kit,9.49,Amazon.it,DA ORDINARE,Sensor wiring Dupont,CARRELLO,13-16 gen
✅,AZDelivery Pi Zero Camera Cable 15cm,6.99,Amazon.it,DA ORDINARE,Flex ribbon for camera,CARRELLO,13-16 gen
✅,AZDelivery 5x MG90S Metal Gear Servo,23.99,Amazon.it,DA ORDINARE,Arm servos 13g (4+1),CARRELLO,13-16 gen
✅,YINETTECH 4 Pezzi 25T Servo Horn,12.09,Amazon.it,DA ORDINARE,Aluminum servo horns,CARRELLO,13 gen
✅,HUAZIZ 24 Pezzi Servo Extension,21.98,Amazon.it,DA ORDINARE,Servo cables (2 packs),CARRELLO,13-16 gen
✅,Set Saldatore 60W Temperature Control,18.99,Amazon.it,DA ORDINARE,Soldering station kit,CARRELLO,13-16 gen
✅,FILO STAGNO 60/40 100gr 0.8mm,7.5,Amazon.it,DA ORDINARE,Leaded solder ✅ CORRECT,CARRELLO,16 gen
✅,Flux Pen 951 10ml No-Clean,3.87,Amazon.it,DA ORDINARE,Soldering flux pen,CARRELLO,6-12 feb
✅,EQM Isopropanolo 99.9% 1L,10.2,Amazon.it,DA ORDINARE,Electronics cleaning ✅,CARRELLO,13 gen
✅,YUVKIN 5 Pezzi Nastro Kapton,7.99,Amazon.it,DA ORDINARE,Heat-resistant tape set,CARRELLO,13-16 gen
✅,Gruiqrd Filo Silicone 16 gauge 5m,7.99,Amazon.it,DA ORDINARE,Power wiring silicone,CARRELLO,13-16 gen
,,TOTALE AMAZON #1:,530,,,ORDINATO 12/01,
,,,,,,,
🛒 FASE 2B - AMAZON.IT ORDINE #2 (DA ORDINARE ORA),,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
✅,CABLEPELADO Porta batteria 18650 2S 7.4V,5.2,Amazon.it,DA ORDINARE,Battery holder for 2x 18650,CARRELLO,13-16 gen
✅,Mini Interruttore ON/OFF 5pcs 10A/125V,5.68,Amazon.it,DA ORDINARE,Power switch for robot,CARRELLO,13-16 gen
✅,Taiss Micro Limit Switch 10pcs KW11-3Z-02,10.44,Amazon.it,DA ORDINARE,Foot contact sensors (need 4),CARRELLO,13-16 gen
✅,ETOPARS 3mm Guaina Cavi Intrecciata 10m,8.79,Amazon.it,DA ORDINARE,Cable management sleeve,CARRELLO,16 gen
✅,Amazon PowerFast Micro USB 1.5m,9.99,Amazon.it,DA ORDINARE,"Pi 4 usa USB-C, non micro-USB",⚠️ DA RIMUOVERE,13-16 gen
,,TOTALE AMAZON #2:,40.1,,,,
,,,,,,,
🌍 FASE 3 - ORDINI ESTERNI PRIORITARI (ORDINA OGGI),,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
⬜,2× Molicel INR18650-P30B 3000mAh,15,Vape Shop Monza,OGGI,Ritiro immediato - controlla QR!,DA ORDINARE,Stesso giorno
⬜,Raspberry Pi AI Camera IMX500 12MP,78,Pimoroni.uk,OGGI,On-sensor AI object detection,DA ORDINARE,5-7 giorni UK
✅,FE-URT-1 USB-UART Servo Controller,12.9,AliExpress,OGGI,Half-duplex serial bus,DA ORDINARE,15-25 giorni
,,TOTALE ESTERNI:,0,,,,
,,,,,,,
⏳ FASE 4 - ATTESA CONFERMA FORNITORE (NON ORDINARE),,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
⏳,Email quotazione a info@eckstein-shop.de,0,Eckstein.de,OGGI,Richiesta prezzo 16× STS3215,DA INVIARE,Risposta 24-48h
⏳,16× Feetech STS3215 Servo 7.4V 19kg·cm,400,Eckstein.de,Dopo quote,ATTENDI conferma disponibilità,ATTESA RISPOSTA,Stima 7 giorni
,,STIMA ECKSTEIN:,400,,,,
,,,,,,,
💡 FASE 5 - COMPONENTI OPZIONALI (NON URGENTE),,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
💡,2DOF Aluminum Robot Gripper Kit,27,AliExpress,Dopo test,"15cm reach, 50g payload",OPZIONALE,15-30 giorni
💡,Acrylic Dome Lenses 25mm (2pcs),9,AliExpress,Dopo test,Cosmetic eye effect,OPZIONALE,15-30 giorni
,,TOTALE OPZIONALI:,0,,,,
,,,,,,,
BUDGET TOTALE PROGETTO OPENDUCK V3,,,1569.1,(Include QIDI),,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ENGINEERING AUDIT SUMMARY - 2026-01-13,,,,,,,
BOTTLENECK TROVATO:,"Pi Zero 2W CPU carico 47-83% (single core), potenza 5V rail marginal (1.3A vs 3A limite)",,,,,,
SOLUZIONE:,"Upgrade a Pi 4 4GB (3-4x più veloce, 4GB RAM vs 512MB)",,,,,,
COSTO UPGRADE:,+€69.25 netto (€102.99 nuovi item - €33.79 rimossi),,,,,,
TIMELINE IMPATTO:,"ZERO - stampa 3D è bottleneck (40-60h), Pi serve solo Phase 3",,,,,,
AZIONE RICHIESTA:,1) Rimuovi Pi Zero 2W + micro-USB da carrello  2) Aggiungi Pi 4 + USB-C + case  3) Ordina,,,,"Pi 4 usa USB-C, non micro-USB",⚠️ DA RIMUOVERE,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ENGINEERING AUDIT SUMMARY - 2026-01-13,,,,,,,
BOTTLENECK TROVATO:,"Pi Zero 2W CPU carico 47-83% (single core), potenza 5V rail marginal (1.3A vs 3A limite)",,,,,,
SOLUZIONE:,"Upgrade a Pi 4 4GB (3-4x più veloce, 4GB RAM vs 512MB)",,,,,,
COSTO UPGRADE:,+€69.25 netto (€102.99 nuovi item - €33.79 rimossi),,,,,,
TIMELINE IMPATTO:,"ZERO - stampa 3D è bottleneck (40-60h), Pi serve solo Phase 3",,,,,,
AZIONE RICHIESTA:,1) Rimuovi Pi Zero 2W + micro-USB da carrello  2) Aggiungi Pi 4 + USB-C + case  3) Ordina,,,,"Pi 4 usa USB-C, non micro-USB",⚠️ DA RIMUOVERE,
,,,,,,,
,,,,,,,
➕ ITEMS DA AGGIUNGERE AL CARRELLO,,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
➕,Raspberry Pi 4 Model B 4GB RAM,76.6,Amazon.it,DA ORDINARE,"🔄 UPGRADE: 3-4× CPU più veloce, 8× RAM. Elimina bottleneck rilevato",CARRELLO,13-16 gen
➕,Alimentatore USB-C 5V 3A per Raspberry Pi 4,13.25,Amazon.it,DA ORDINARE,"🔄 NECESSARIO: Pi 4 usa USB-C, non micro-USB",CARRELLO,13-16 gen
➕,Case Alluminio + Dissipatore Passivo Raspberry Pi 4,13.19,Amazon.it,DA ORDINARE,🔄 RACCOMANDATO: Previene thermal throttling (80°C limit). Mantiene 65°C,CARRELLO,13-16 gen
➕,PCA9685 PWM Driver Board 16-Ch I2C (2pcs) - GERUI,10.09,Amazon.it,DA ORDINARE,⚠️ MANCANTE: Controller I2C per 4× MG90S servos (braccia). Address 0x40,CARRELLO,13-16 gen
,,,,,,,
,,,,,,,
📋 RECAP COMPLETO MODIFICHE - ACQUISTO UNICO DOMANI,,,,,,,
,,,,,,,
❌ STEP 1: RIMUOVI DAL CARRELLO AMAZON,,,,,,,
⚠️ Raspberry Pi Zero 2W,€23.80,CPU insufficiente (47-83% carico single core),,,,,
⚠️ Amazon PowerFast Micro USB 1.5m,€9.99,"Pi 4 non usa micro-USB, usa USB-C",,,,,
,,,,,,,
TOTALE DA RIMUOVERE:,-€33.79,,,,,,
,,,,,,,
✅ STEP 2: AGGIUNGI AL CARRELLO AMAZON,,,,,,,
✅ Raspberry Pi 4 Model B 4GB,€76.60,"3-4× più veloce, 8× RAM vs Pi Zero 2W",,,,,
✅ Alimentatore USB-C 5V 3A,€13.25,Alimentazione corretta per Pi 4,,,,,
✅ Case Alluminio + Dissipatore,€13.19,Previene throttling termico (80°C),,,,,
✅ PCA9685 PWM Driver (2pcs),€10.09,Controller I2C per servos braccia,,,,,
,,,,,,,
TOTALE DA AGGIUNGERE:,+€113.13,,,,,,
,,,,,,,
💰 RIEPILOGO COSTI FINALI,,,,,,,
Items rimossi:,-€33.79,,,,,,
Items aggiunti:,+€113.13,,,,,,
,,,,,,,
COSTO NETTO UPGRADE:,+€79.34,,,,,,
,,,,,,,
🔍 PERCHÉ QUESTO UPGRADE?,,,,,,,
1. BOTTLENECK CPU:,Pi Zero 2W carico 47-83% single core (rischio RL policy),,,,,,
2. POTENZA MARGINALE:,5V rail 1.3A picco vs 3A UBEC limit (con braccia),,,,,,
3. COMPONENTE MANCANTE:,PCA9685 necessario per controllare 4× MG90S braccia,,,,,,
4. TIMING:,ZERO impatto - stampa 3D bottleneck (40-60h),,,,,,
5. INVESTIMENTO:,€79 ora vs €78+ dopo se fallisce + tempo perso,,,,,,
,,,,,,,
,,,,,,,
🛒 PIANO AZIONE ACQUISTO DOMANI (14 GENNAIO),,,,,,,
1.,Apri Amazon.it carrello,,,,,,
2.,RIMUOVI: Raspberry Pi Zero 2W (€23.80),,,,,,
3.,RIMUOVI: Amazon PowerFast Micro USB (€9.99),,,,,,
4.,AGGIUNGI: Raspberry Pi 4 Model B 4GB (cerca 'Raspberry Pi 4 4GB'),,,,,,
5.,AGGIUNGI: Alimentatore USB-C 5V 3A (cerca 'Raspberry Pi 4 alimentatore USB-C'),,,,,,
6.,AGGIUNGI: Case alluminio + dissipatore (cerca 'Raspberry Pi 4 case alluminio'),,,,,,
7.,AGGIUNGI: PCA9685 PWM Driver (cerca 'GERUI PCA9685 PWM' - €10.09),,,,,,
8.,Verifica totale carrello = Budget originale + €79.34,,,,,,
9.,Procedi checkout,,,,,,
,,,,,,,
RISULTATO:,"Hardware ottimizzato, ZERO rischi, pronto per build!",,,,,,
,,,,,,,
✅ TRACKER PRONTO - ACQUISTO UNICO DOMANI COMPLETO - ZERO RISCHI HARDWARE,,,,,,,
