category,item_name,exact_model_version,quantity,price_eur,price_range_eur,vendor_name,vendor_country,vendor_link,alternative_1_link,alternative_2_link,availability_note,why_this_item,compatibility_notes,risk_flags,documentation_link
holo,Hologram Pyramid Kit,3D Hologram Pyramid Display,1,22,15-30,Amazon.it,Italy,https://www.amazon.it/s?k=piramide+ologramma+3d,https://www.amazon.de/s?k=hologram+pyramid,https://www.aliexpress.com/w/wholesale-hologram-pyramid.html,in_stock,Creates Pepper's Ghost effect; works with tablet/phone display,Requires tablet/phone or small display facing up,lighting_dependent|fragile,DIY tutorials on YouTube
holo,Display for Pyramid,7 inch IPS Display HDMI,1,55,50-70,Melopero.com,Italy,https://www.melopero.com/shop/raspberry-pi/display/,https://www.amazon.it/s?k=7+inch+hdmi+display,https://www.amazon.de/s?k=waveshare+7+inch,in_stock,Optional dedicated display for hologram pyramid,HDMI input; can connect to mini-PC second output,requires_hdmi_port,https://www.waveshare.com/7inch-hdmi-lcd-c.htm
holo,LED Strip Ambient,Govee LED Strip 5m RGB,1,28,25-35,Amazon.it,Italy,https://www.amazon.it/s?k=govee+led+strip+5m,https://www.amazon.de/s?k=govee+led+5m,https://www.amazon.it/s?k=philips+hue+lightstrip,in_stock,Ambient lighting sync with JARVIS status; WiFi controlled; 5m more common than 2m,WiFi/Bluetooth; Govee app or API integration,wifi_required,https://www.govee.com
cables,USB-C Cable,Anker USB-C to USB-A 1m,2,12,10-15,Amazon.it,Italy,https://www.amazon.it/s?k=anker+usb+c+cable,https://www.amazon.de/s?k=anker+usb+c,https://www.amazon.it/s?k=ugreen+usb+c,in_stock,For RODE mic and other USB-C devices,USB 3.0 data transfer; 3A charging,none,https://www.anker.com
cables,HDMI Cable,Amazon Basics HDMI 2.0 2m,1,8,7-12,Amazon.it,Italy,https://www.amazon.it/s?k=amazon+basics+hdmi,https://www.amazon.de/s?k=hdmi+cable+2m,https://www.amazon.it/s?k=ugreen+hdmi,in_stock,For second display or hologram display connection,HDMI 2.0; 4K@60Hz support,none,https://www.amazon.it
cables,Audio Cable,3.5mm to RCA 1.5m,1,8,6-10,Amazon.it,Italy,https://www.amazon.it/s?k=3.5mm+rca+cable,https://www.amazon.de/s?k=aux+rca+cable,https://www.thomann.de/cables.html,in_stock,Connect PC to Edifier speakers (Pro tier),Stereo 3.5mm to dual RCA,only_for_edifier_speakers,https://www.amazon.it
storage,MicroSD Card,Samsung EVO Plus 64GB,1,12,10-15,Amazon.it,Italy,https://www.amazon.it/s?k=samsung+evo+plus+64gb,https://www.amazon.de/s?k=samsung+microsd+64gb,https://www.mediaworld.it,in_stock,For Raspberry Pi in robot V3 or backup storage,UHS-I U3; 130MB/s read,v3_robot_only,https://www.samsung.com/semiconductor/minisite/ssd/product/portable/
robot_v3,Raspberry Pi Zero 2W,Pi Zero 2W with Headers,1,22,18-25,Melopero.com,Italy,https://www.melopero.com/shop/raspberry-pi/boards/raspberry-pi-zero-2-w/,https://www.amazon.it/s?k=raspberry+pi+zero+2w,https://thepihut.com,variable_stock,Robot client compute; WiFi built-in,Requires microSD and power supply,stock_limited|v3_only,https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/
robot_v3,I2S Microphone,INMP441 I2S MEMS Microphone,1,8,6-12,Amazon.it,Italy,https://www.amazon.it/s?k=inmp441+microphone,https://www.amazon.de/s?k=inmp441,https://www.aliexpress.com/w/wholesale-inmp441.html,in_stock,Robot audio input; I2S interface for Pi,Requires soldering to Pi GPIO,soldering_required|v3_only,https://invensense.tdk.com/products/digital/inmp441/
robot_v3,I2S Amplifier,MAX98357A I2S Amplifier,1,6,5-10,Amazon.it,Italy,https://www.amazon.it/s?k=max98357a,https://www.amazon.de/s?k=max98357,https://www.adafruit.com/product/3006,in_stock,Robot audio output; I2S DAC + amplifier,3W output; connects to small speaker,soldering_required|v3_only,https://www.adafruit.com/product/3006
robot_v3,Small Speaker,3W 4Ohm Speaker 40mm,1,5,3-8,Amazon.it,Italy,https://www.amazon.it/s?k=small+speaker+40mm,https://www.amazon.de/s?k=mini+speaker+3w,https://www.aliexpress.com/w/wholesale-40mm-speaker.html,in_stock,Robot speaker; pairs with MAX98357A,4 ohm impedance required,v3_only,https://www.amazon.it
robot_v3,LED Ring,WS2812B NeoPixel Ring 12 LED,1,8,6-12,Amazon.it,Italy,https://www.amazon.it/s?k=ws2812b+ring+12,https://www.amazon.de/s?k=neopixel+ring,https://www.adafruit.com/product/1643,in_stock,Robot eye display; individually addressable RGB,5V logic; Pi GPIO compatible,v3_only,https://learn.adafruit.com/adafruit-neopixel-uberguide
